Exploitation;Execution_Time
1;1.3458459377288818
2;1.4469091892242432
3;1.3761928081512451
4;1.3222339153289795
5;0.953524112701416
6;0.9760069847106934
7;1.5331580638885498
8;1.3346712589263916
9;1.6257891654968262
10;1.8460650444030762
1;1.3702819347381592
2;1.6183018684387207
3;1.907823085784912
4;2.0128839015960693
1;0.7854540348052979
2;0.7267358303070068
1;1.0543091297149658
1;0.606569766998291
1;0.8243792057037354
2;0.5639722347259521
3;1.089663028717041
4;0.5501720905303955
5;1.2189650535583496
6;0.9466519355773926
7;0.9966530799865723
8;1.1542987823486328
9;0.7706069946289062
10;0.595430850982666
1;0.7847778797149658
2;1.0072121620178223
3;1.056136131286621
4;2.2758069038391113
5;0.6358919143676758
6;0.7146081924438477
7;0.5237710475921631
8;0.4578080177307129
9;2.9816768169403076
10;2.8841729164123535
1;1.570622205734253
2;1.861541986465454
3;2.1423988342285156
4;1.981658935546875
5;1.28065824508667
6;1.8985202312469482
7;2.035188913345337
8;1.240983009338379
9;1.8844189643859863
10;1.494452953338623
